Object|Earth Days to orbit sun|Orbit Seconds|Time to spin on Axis|Earth Days to Spin on Axis||Rotation seconds
Sun|0||24|24.0668523677|days|48.14
Mercury|87.97|2|59|59.1643454039|days|118.32
Venus|224.63|5.11|243|243.6768802228|days|487.36
Earth|365.26|8.3|23.56|1|days|2
Mars|687.05|15.62|24.37|1.028551532|days|2.06
Jupiter|4331.94|98.49|9.55|0.4143454039|days|0.82
Saturn|10760.45|244.64|10.39|0.4449860724|days|0.88
Uranus|30685.19|697.63|17.14|0.7200557103|days|1.44
Neptune|60194.25|1368.52|16.7|0.6733983287|days|1.34


Planet |True Diameter in miles |image width|image radius
Sun|864340|400|-200
Mercury |3032|1.4031515376|-0.7015757688
Venus |7521|3.4805747738|-1.7402873869
Earth |7926|3.6680010181|-1.8340005091
Mars |4222|1.9538607492|-0.9769303746
Jupiter |88846|41.1162274105|-20.5581137053
Saturn |74898|34.6613601129|-17.3306800565
Uranus |31763|14.6993081426|-7.3496540713
Neptune |30778|14.2434690053|-7.1217345026

True Distance to the Sun
in miles |percent of width|Orbit Screen Width|Orbit CSS Margin Radius
35983610|1.221377609| 442.16 |-221.08
67232360|2.2820417158| 457.06 |-228.53
92957100|3.1552065104| 469.32 |-234.66
141635300|4.8074716258| 492.53 |-246.27
483632000|16.4157319349| 655.60 |-327.80
888188000|30.1474181108| 848.50 |-424.25
1783950000|60.551917543| 1275.62 |-637.81
2798842000|95| 1759.54 |-879.77
